"Source:","C:\Users\Bdabrowski\Desktop\NANOFC\NANOFC.kicad_sch"
"Date:","01.08.2022 21:52:02"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","39"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","A1","Arduino Nano","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","","","","","","","",""
"","","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_CUI_CPT-9019S-SMT","~","","","","","","","",""
"","","C1","100nf","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","",""
"","","C2","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","",""
"","","D1","DIODE","pspice:DIODE","Diode_SMD:D_1210_3225Metric","~","","","","","","","",""
"","","D4","LED","Device:LED","LED_SMD:LED_PLCC-2","~","","","","","","","",""
"","","F1","Fuse","Device:Fuse","Fuse:Fuse_1206_3216Metric","~","","","","","","","",""
"","","F2","Fuse","Device:Fuse","Fuse:Fuse_1206_3216Metric","~","","","","","","","",""
"","","F3","Fuse","Device:Fuse","Fuse:Fuse_1206_3216Metric","~","","","","","","","",""
"","","J1","Power in","Connector:Screw_Terminal_01x02","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","~","","","","","","","",""
"","","J2","Pyro 1","Connector:Screw_Terminal_01x02","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","~","","","","","","","",""
"","","J3","BMP 280","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","",""
"","","J4","Pyro 2","Connector:Screw_Terminal_01x02","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","~","","","","","","","",""
"","","J5","SIG","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","",""
"","","J6","V+","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","",""
"","","J7","GND","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","",""
"","","J8","Master Arm","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"","","J9","P1 Arm","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"","","J10","P2 Arm","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"","","J11","Micro_SD_Card","Connector:Micro_SD_Card","Connector_Card:microSD_HC_Hirose_DM3D-SF","http://katalog.we-online.de/em/datasheet/693072010801.pdf","","","","","","","",""
"","","J12","UART","Connector:Conn_01x04_Male","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","~","","","","","","","",""
"","","JP1","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","","","","","","","",""
